,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,paamiut,22,GL,1581116238,77,61.99,-49.67,9.75,13.58
1,hobart,75,AU,1581116031,72,-42.88,147.33,61.0,5.82
2,norman wells,90,CA,1581116239,76,65.28,-126.83,-5.8,8.05
3,cape town,0,ZA,1581116239,68,-33.93,18.42,68.0,9.17
4,narsaq,0,GL,1581116239,56,60.92,-46.05,15.8,8.05
5,bluff,89,NZ,1581116240,69,-46.6,168.33,54.0,18.01
6,dawei,0,MM,1581116240,60,14.08,98.2,76.98,7.54
7,ilulissat,95,GL,1581116168,71,69.22,-51.1,3.2,5.82
8,valparaiso,0,CL,1581116185,24,-33.04,-71.63,78.8,13.87
9,cairns,20,AU,1581116230,74,-16.92,145.77,87.01,11.41
10,touros,20,BR,1581115984,74,-5.2,-35.46,82.4,13.87
11,hargeysa,100,SO,1581116241,83,9.56,44.06,60.22,11.48
12,nikolskoye,75,RU,1581116241,92,59.7,30.79,26.01,6.71
13,araouane,44,ML,1581116241,16,18.9,-3.53,70.14,10.47
14,aykhal,99,RU,1581116242,84,66.0,111.5,5.0,4.47
15,jamestown,90,US,1581116242,92,42.1,-79.24,28.0,13.87
16,geraldton,40,AU,1581116242,83,-28.77,114.6,73.4,6.93
17,butaritari,83,KI,1581116242,81,3.07,172.79,83.21,20.8
18,avarua,5,CK,1581116140,79,-21.21,-159.78,84.2,14.99
19,castro,3,BR,1581116244,91,-24.79,-50.01,66.02,8.72
20,bijar,0,IR,1581116244,82,35.87,47.61,35.17,18.77
21,laguna,5,US,1581116244,39,38.42,-121.42,68.0,4.7
22,hilo,90,US,1581115957,64,19.73,-155.09,73.4,13.87
23,saint-philippe,0,RE,1581116245,69,-21.36,55.77,75.2,6.93
24,cabo san lucas,20,MX,1581116245,46,22.89,-109.91,73.99,4.7
25,constitucion,0,CL,1581116160,76,-35.33,-72.42,56.71,7.4
26,jacmel,20,HT,1581116246,40,18.23,-72.53,87.8,18.34
27,chuy,2,UY,1581116246,84,-33.7,-53.46,75.74,11.12
28,ketchikan,20,US,1581116246,69,55.34,-131.65,37.4,17.22
29,savannah bight,8,HN,1581116246,79,16.45,-85.85,79.9,7.47
30,upernavik,26,GL,1581116246,93,72.79,-56.15,-25.46,11.81
31,ushuaia,33,AR,1581116247,77,-54.8,-68.3,62.6,9.17
32,freeport,90,US,1581116247,59,40.66,-73.58,37.99,23.04
33,saint-pierre,0,RE,1581116247,69,-21.34,55.48,75.2,6.93
34,ribeira grande,66,PT,1581116247,72,38.52,-28.7,54.3,9.28
35,esperance,99,AU,1581116248,56,-33.87,121.9,73.4,13.87
36,kendari,100,ID,1581116248,88,-3.94,122.5,79.77,0.45
37,klaksvik,93,FO,1581116248,87,62.23,-6.59,42.8,18.34
38,half moon bay,1,US,1581116248,52,37.46,-122.43,70.0,5.82
39,raga,0,SS,1581116248,29,8.46,25.68,68.65,2.17
40,hermanus,47,ZA,1581116045,83,-34.42,19.23,68.0,8.99
41,bambous virieux,75,MU,1581116249,74,-20.34,57.76,78.8,8.05
42,qaanaaq,0,GL,1581116249,81,77.48,-69.36,-30.23,1.43
43,vogar,75,IS,1581116250,86,63.98,-22.39,41.0,25.28
44,vaini,20,TO,1581116136,79,-21.2,-175.2,84.2,13.87
45,huarmey,77,PE,1581116250,65,-10.07,-78.15,73.78,5.73
46,rikitea,40,PF,1581116250,80,-23.12,-134.97,78.73,17.85
47,belyy yar,100,RU,1581116250,74,53.6,91.39,30.2,4.47
48,tuatapere,25,NZ,1581116251,69,-46.13,167.68,54.0,18.01
49,zhigansk,95,RU,1581116251,89,66.77,123.37,-23.98,21.39
50,nalut,0,LY,1581116202,30,30.33,10.85,43.36,5.75
51,ternate,0,ID,1581116251,71,0.8,127.4,83.1,1.66
52,camana,63,PE,1581116251,84,-16.62,-72.71,65.57,5.03
53,hobyo,16,SO,1581116252,73,5.35,48.53,74.46,13.65
54,punta arenas,0,CL,1581116252,55,-53.15,-70.92,60.8,6.93
55,washington,90,US,1581116219,93,47.5,-120.5,48.2,1.45
56,toropets,100,RU,1581116252,76,56.5,31.64,21.63,5.3
57,cidreira,0,BR,1581116156,85,-30.18,-50.21,77.43,27.89
58,ugoofaaru,59,MV,1581116253,71,5.67,73.0,81.46,5.97
59,wejherowo,0,PL,1581116253,54,54.61,18.24,34.0,6.93
60,eyl,4,SO,1581116253,77,7.98,49.82,75.18,19.53
61,carnarvon,90,AU,1581116254,100,-24.87,113.63,75.2,13.87
62,busselton,10,AU,1581116254,63,-33.65,115.33,66.99,9.8
63,vardo,75,NO,1581116254,74,70.37,31.11,37.4,12.75
64,yellowknife,90,CA,1581116254,83,62.46,-114.35,-2.0,5.82
65,icod de los vinos,20,ES,1581116255,93,28.37,-16.71,68.0,13.87
66,tiruchchendur,81,IN,1581116255,77,8.48,78.12,75.33,6.02
67,airai,98,TL,1581116206,75,-8.93,125.41,76.05,1.66
68,lompoc,1,US,1581116025,40,34.64,-120.46,68.0,5.82
69,albany,90,US,1581116100,85,42.6,-73.97,26.6,10.29
70,skjervoy,75,NO,1581116256,75,70.03,20.97,41.0,9.17
71,broome,90,US,1581116256,85,42.25,-75.83,26.01,14.99
72,singaraja,100,ID,1581116257,75,-8.11,115.09,80.19,4.97
73,khatanga,93,RU,1581116257,94,71.97,102.5,10.08,10.85
74,quatre cocos,75,MU,1581116104,74,-20.21,57.76,78.8,8.05
75,college,75,US,1581116258,84,64.86,-147.8,18.0,2.66
76,bose,0,IT,1581116258,51,45.46,8.01,42.01,5.82
77,digby,88,CA,1581116258,81,44.62,-65.77,47.39,40.51
78,dikson,100,RU,1581116258,93,73.51,80.55,-3.28,10.47
79,ganzhou,35,CN,1581116258,86,28.82,115.43,40.14,3.51
80,tiksi,0,RU,1581116259,76,71.69,128.87,-23.58,3.11
81,chilca,2,PE,1581116259,78,-12.52,-76.74,77.0,6.93
82,vargashi,100,RU,1581116259,96,55.36,65.85,21.92,6.31
83,ahipara,56,NZ,1581116260,73,-35.17,173.17,84.0,1.01
84,shediac,90,CA,1581116205,92,46.22,-64.54,28.0,12.75
85,victoria,40,HK,1581116260,77,22.29,114.16,62.6,11.41
86,zyryanka,4,RU,1581116260,88,65.75,150.85,-34.13,6.49
87,beringovskiy,1,RU,1581116182,87,63.05,179.32,-22.79,16.87
88,korgen,75,NO,1581116261,98,66.08,13.82,37.4,2.24
89,dukat,0,RU,1581116261,89,62.55,155.55,-26.86,3.15
90,thinadhoo,100,MV,1581116261,79,0.53,72.93,81.48,11.48
91,grand-lahou,12,CI,1581116262,81,5.14,-5.02,82.71,11.39
92,naze,75,JP,1581116262,77,28.37,129.48,60.8,21.92
93,turayf,75,SA,1581116262,81,31.67,38.66,44.6,11.41
94,san cristobal,20,VE,1581116262,40,7.77,-72.22,89.6,9.17
95,bredasdorp,92,ZA,1581116133,73,-34.53,20.04,69.8,10.29
96,altamira,99,BR,1581116263,97,-3.2,-52.21,74.08,3.24
97,mataura,50,NZ,1581116129,69,-46.19,168.86,54.0,18.01
98,longyearbyen,75,SJ,1581116263,73,78.22,15.64,24.8,14.99
99,saskylakh,100,RU,1581116152,93,71.92,114.08,-4.56,21.16
100,mahebourg,75,MU,1581116264,74,-20.41,57.7,78.8,8.05
101,puerto del rosario,20,ES,1581116264,82,28.5,-13.86,64.4,13.87
102,lebu,0,CL,1581116264,67,-37.62,-73.65,57.33,9.42
103,cozumel,90,MX,1581116264,69,20.51,-86.95,75.2,8.05
104,weyburn,93,CA,1581116265,85,49.67,-103.85,25.0,11.01
105,oyama,75,JP,1581116265,79,36.3,139.8,39.99,2.24
106,yerbogachen,100,RU,1581116265,95,61.28,108.01,14.74,5.93
107,oranjemund,19,NA,1581116266,83,-28.55,16.43,64.56,3.02
108,thompson,90,CA,1581116136,70,55.74,-97.86,-0.4,5.82
109,fairbanks,75,US,1581115998,84,64.84,-147.72,18.0,2.1
110,kozhanka,40,UA,1581116266,62,49.98,29.74,19.99,11.18
111,bosaso,81,SO,1581116266,74,11.28,49.18,75.13,12.8
112,arraial do cabo,20,BR,1581116267,88,-22.97,-42.03,77.0,11.41
113,ponta do sol,40,PT,1581116267,77,32.67,-17.1,62.6,3.36
114,deputatskiy,87,RU,1581116267,100,69.3,139.9,-41.8,2.04
115,batsfjord,40,NO,1581116267,80,70.63,29.72,37.4,19.46
116,atuona,95,PF,1581116268,73,-9.8,-139.03,82.29,19.37
117,sfantu gheorghe,11,RO,1581116268,75,45.87,25.78,18.0,9.08
118,tasiilaq,100,GL,1581116268,80,65.61,-37.64,35.6,35.57
119,hamilton,40,US,1581116171,64,39.18,-84.53,33.8,8.05
120,saint george,1,US,1581116077,26,37.1,-113.58,62.6,10.29
121,northam,75,GB,1581116198,87,51.03,-4.22,52.0,14.99
122,puerto escondido,40,MX,1581116269,79,15.85,-97.07,86.0,9.17
123,katsuura,75,JP,1581116194,60,35.13,140.3,41.0,4.7
124,kapaa,40,US,1581116130,60,22.08,-159.32,71.6,10.29
125,puerto ayora,40,EC,1581116270,62,-0.74,-90.35,86.0,19.46
126,kilindoni,49,TZ,1581116270,78,-7.91,39.67,81.9,12.28
127,karratha,100,AU,1581116270,85,-20.74,116.85,82.15,55.9
128,harer,26,ET,1581116271,64,9.31,42.13,58.12,1.34
129,isangel,75,VU,1581116271,74,-19.55,169.27,86.0,11.41
130,athabasca,0,CA,1581116271,91,54.72,-113.29,20.17,4.61
131,boden,66,SE,1581116271,92,65.83,21.69,15.8,2.24
132,xinglongshan,14,CN,1581116272,68,43.96,125.47,-14.8,2.24
133,sabang,68,ID,1581116272,78,5.89,95.32,82.06,16.98
134,saldanha,0,ZA,1581116192,60,-33.01,17.94,69.8,9.17
135,barrow,1,US,1581116272,95,71.29,-156.79,-32.8,6.93
136,sao filipe,68,CV,1581116273,52,14.9,-24.5,72.81,19.89
137,upata,28,VE,1581116273,61,8.01,-62.4,74.5,6.71
138,sunndalsora,90,NO,1581116273,93,62.68,8.55,37.4,10.29
139,umm kaddadah,0,SD,1581116273,15,13.6,26.69,72.32,18.01
140,kamaishi,40,JP,1581116273,92,39.27,141.88,24.8,5.82
141,necochea,98,AR,1581116251,90,-38.55,-58.74,64.99,10.0
142,namie,75,JP,1581116274,100,37.48,141.0,39.99,9.17
143,guayaramerin,85,BO,1581116275,97,-10.84,-65.36,75.65,3.06
144,hithadhoo,97,MV,1581116275,74,-0.6,73.08,82.15,8.1
145,severo-kurilsk,100,RU,1581116275,90,50.68,156.12,22.64,10.87
146,altdorf,0,DE,1581116275,86,49.39,11.36,33.01,3.36
147,port alfred,92,ZA,1581116045,98,-33.59,26.89,66.99,5.01
148,verkhnevilyuysk,100,RU,1581116276,96,63.45,120.32,0.86,7.47
149,east london,100,ZA,1581116276,86,-33.02,27.91,72.39,16.49
150,kieta,42,PG,1581116276,70,-6.22,155.63,85.59,12.28
151,bengkulu,100,ID,1581116277,92,-3.8,102.27,73.69,3.42
152,itarema,44,BR,1581116277,91,-2.92,-39.92,75.96,5.3
153,kabo,24,CF,1581116277,19,7.7,18.63,74.25,3.76
154,adrar,94,MR,1581116278,15,20.5,-10.07,69.94,11.03
155,mo i rana,75,NO,1581116278,99,66.31,14.14,37.0,2.24
156,tena,75,EC,1581116278,62,-0.98,-77.82,86.0,1.12
157,darnah,41,LY,1581116104,72,32.77,22.64,56.53,25.23
158,ostrovnoy,92,RU,1581116279,95,68.05,39.51,8.49,12.82
159,montego bay,40,JM,1581116082,74,18.47,-77.92,82.4,5.82
160,surgut,20,RU,1581116279,83,61.25,73.42,-7.6,2.24
161,harper,75,LR,1581116279,92,4.38,-7.72,76.75,0.56
162,southbridge,40,US,1581116280,68,42.08,-72.03,39.99,31.09
163,guasdualito,68,VE,1581116280,32,7.24,-70.73,95.0,3.36
164,najran,10,SA,1581116280,40,17.49,44.13,69.8,2.24
165,oktyabrskoye,100,RU,1581116281,97,43.06,44.74,27.82,4.63
166,faya,12,SA,1581116281,87,18.39,42.45,59.0,2.8
167,villa bruzual,55,VE,1581116281,39,9.33,-69.12,82.42,3.53
168,kurilsk,100,RU,1581116281,75,45.23,147.88,16.57,10.11
169,papara,24,BR,1581116160,74,-3.98,-38.73,82.99,4.7
170,waingapu,100,ID,1581116282,80,-9.66,120.26,81.91,14.61
171,nchelenge,64,ZM,1581116282,88,-9.35,28.73,69.24,4.07
172,hovd,84,MN,1581116282,75,48.01,91.64,4.73,1.39
173,san quintin,0,MX,1581116283,75,30.48,-115.95,59.14,14.34
174,moron,90,AR,1581116196,88,-34.65,-58.62,78.01,11.41
175,samarai,87,PG,1581116283,73,-10.62,150.67,82.47,6.15
176,dingle,52,PH,1581116283,87,11.0,122.67,77.54,10.85
177,puerto carreno,77,CO,1581116137,39,6.19,-67.49,95.0,4.7
178,stromness,81,GB,1581116284,81,58.97,-3.3,42.8,31.09
179,georgetown,20,MY,1581116284,69,5.41,100.34,78.01,3.58
180,luderitz,0,NA,1581116284,77,-26.65,15.16,66.2,11.41
181,asau,75,RO,1581116285,79,46.43,26.4,26.01,14.99
182,rognan,75,NO,1581116285,100,67.1,15.39,39.99,4.7
183,charleville,31,AU,1581116285,61,-26.4,146.25,78.8,6.93
184,boa vista,70,BR,1581116038,38,2.82,-60.67,87.8,10.29
185,sangar,6,RU,1581116286,85,63.92,127.47,-33.07,12.35
186,sinjar,88,IQ,1581116286,80,36.32,41.88,45.81,5.93
187,bethel,75,US,1581116272,74,41.37,-73.41,37.4,18.34
188,okhotsk,15,RU,1581116286,76,59.38,143.3,-19.16,9.01
189,ohringen,0,DE,1581116287,80,49.2,9.5,36.0,5.82
190,the valley,40,AI,1581116287,73,18.22,-63.06,80.6,12.75
191,chokurdakh,0,RU,1581116150,95,70.63,147.92,-33.23,3.78
192,marrakesh,0,MA,1581116091,67,31.63,-8.01,59.0,2.24
193,cabras,96,IT,1581116287,68,39.93,8.53,43.0,3.0
194,prince rupert,40,CA,1581116288,93,54.32,-130.32,39.2,2.24
195,eregli,100,TR,1581116288,95,37.51,34.05,25.18,10.25
196,malanje,100,AO,1581116288,96,-9.54,16.34,64.63,2.75
197,harrismith,98,ZA,1581116288,98,-28.27,29.13,58.03,3.89
198,oktyabrskiy,99,RU,1581116289,93,54.48,53.47,3.24,3.67
199,strezhevoy,75,RU,1581116289,91,60.73,77.59,1.4,2.24
200,namatanai,96,PG,1581116289,71,-3.67,152.43,84.54,11.05
201,aitape,69,PG,1581116289,75,-3.14,142.35,81.46,11.65
202,namibe,30,AO,1581116289,86,-15.2,12.15,75.9,9.57
203,sandwick,41,GB,1581116290,81,60.0,-1.25,44.6,33.33
204,lufilufi,100,WS,1581116290,94,-13.87,-171.6,75.0,10.87
205,ayacucho,40,PE,1581116290,49,-13.16,-74.22,71.6,8.05
206,kahului,40,US,1581116290,41,20.89,-156.47,78.8,12.75
207,bud,40,US,1581116291,80,39.45,-86.18,34.0,5.82
208,maibong,96,IN,1581116291,81,25.3,93.17,54.12,0.56
209,vestmanna,100,FO,1581116291,87,62.16,-7.17,42.8,18.34
210,inuvik,75,CA,1581116291,73,68.35,-133.72,-25.6,3.36
211,borogontsy,30,RU,1581116292,96,62.67,131.17,-44.18,6.35
212,lata,40,PT,1581116292,93,40.16,-8.33,55.99,3.36
213,codrington,48,AU,1581116203,90,-38.27,141.97,65.03,19.82
214,kavieng,100,PG,1581116292,76,-2.57,150.8,83.35,13.24
215,srednekolymsk,13,RU,1581116202,96,67.45,153.68,-39.68,2.1
216,uravakonda,28,IN,1581116293,59,14.95,77.27,70.92,0.87
217,tautira,75,PF,1581116293,62,-17.73,-149.15,87.8,5.82
218,new norfolk,75,AU,1581116293,72,-42.78,147.06,61.0,5.82
219,tessalit,0,ML,1581116293,17,20.2,1.01,66.87,13.29
220,kodiak,75,US,1581116294,74,57.79,-152.41,33.8,6.93
221,saint-augustin,100,CA,1581116294,88,51.23,-58.65,11.21,17.98
222,sudogda,99,RU,1581116294,94,55.95,40.86,3.0,8.55
223,sitio novo do tocantins,98,BR,1581116294,94,-5.52,-47.46,74.68,1.34
224,provideniya,0,RU,1581116294,84,64.38,-173.3,-23.51,8.01
225,sobolevo,70,RU,1581116295,76,54.43,31.9,19.2,8.19
226,quibdo,20,CO,1581116295,62,5.69,-76.66,89.6,5.82
227,olafsvik,100,IS,1581116171,78,64.89,-23.71,37.78,22.21
228,port elizabeth,90,ZA,1581116296,88,-33.92,25.57,68.0,16.11
229,segezha,93,RU,1581116296,92,63.74,34.32,15.94,9.28
230,tura,65,IN,1581116296,40,25.52,90.22,56.64,3.74
231,erenhot,0,CN,1581116297,69,43.65,111.98,12.09,10.87
232,san policarpo,35,PH,1581116298,86,12.18,125.51,80.38,10.63
233,kirakira,100,SB,1581116298,75,-10.45,161.92,84.36,15.7
234,mogadishu,0,SO,1581116299,86,2.04,45.34,78.01,17.81
235,hami,0,CN,1581116205,54,42.8,93.45,15.78,0.98
236,yar-sale,100,RU,1581116299,88,66.83,70.83,-2.49,6.96
237,plettenberg bay,66,ZA,1581116299,91,-34.05,23.37,66.52,3.36
238,riposto,5,IT,1581116299,100,37.73,15.2,51.01,8.05
239,zhuhai,40,CN,1581116300,82,22.28,113.57,62.6,13.87
240,fort nelson,40,CA,1581116300,73,58.81,-122.7,24.8,2.93
241,ravar,0,IR,1581116300,39,31.27,56.81,48.99,3.33
242,sangmelima,100,CM,1581116300,85,2.93,11.98,69.35,3.02
243,tutoia,60,BR,1581116301,95,-2.76,-42.27,74.62,4.56
244,port hardy,90,CA,1581116301,93,50.7,-127.42,41.0,14.99
245,dom pedrito,0,BR,1581116301,56,-30.98,-54.67,84.43,15.75
246,noumea,20,NC,1581116151,43,-22.28,166.46,89.6,11.41
247,tallmadge,90,US,1581116229,74,41.1,-81.44,30.2,12.75
248,clyde river,1,CA,1581116302,66,70.47,-68.59,-31.0,3.36
249,maun,75,BW,1581116302,94,-19.98,23.42,73.4,2.24
250,west bay,20,KY,1581116302,66,19.37,-81.42,86.0,9.17
251,kwinana,25,AU,1581116303,94,-32.25,115.77,70.0,5.82
252,karakulino,94,RU,1581116303,94,56.01,53.71,5.16,8.68
253,khomutovo,100,RU,1581116303,65,52.47,104.4,8.6,2.24
254,rioja,43,AR,1581116303,79,-29.41,-66.85,71.69,0.94
255,muravlenko,1,RU,1581116304,97,63.79,74.52,-16.69,11.65
256,sola,90,VU,1581116213,94,-13.88,167.55,82.4,116.32
257,makamba,94,BI,1581116304,87,-4.13,29.8,62.04,3.33
258,kaitangata,86,NZ,1581116304,69,-46.28,169.85,51.12,31.23
259,makarov,54,RU,1581116304,87,48.63,142.8,-1.98,4.21
260,anadyr,0,RU,1581116305,65,64.75,177.48,-34.01,4.47
261,la palma,1,US,1581116305,37,33.85,-118.05,71.01,6.31
262,magistralnyy,100,RU,1581116305,96,56.17,107.45,10.94,4.32
263,torbay,90,CA,1581116305,100,47.67,-52.73,28.99,16.11
264,marigot,20,MF,1581116306,69,18.07,-63.08,80.6,13.87
265,wajid,17,SO,1581116306,73,3.81,43.25,69.62,19.73
266,tuktoyaktuk,20,CA,1581116306,66,69.45,-133.04,-32.8,11.41
267,biak,85,ID,1581116306,72,-0.91,122.88,81.64,1.57
268,berdigestyakh,21,RU,1581116133,97,62.1,126.7,-31.0,6.85
269,talcahuano,0,CL,1581116307,53,-36.72,-73.12,71.6,18.34
